aliquot_id;predict.label2;dist.to.template;distCRIS.A;distCRIS.B;distCRIS.C;distCRIS.D;distCRIS.E;dist.to.cls1.rank;ntpCRIS-A;ntpCRIS-B;ntpCRIS-C;ntpCRIS-D;ntpCRIS-E;nominal.p;nominal.p.CRIS.A;nominal.p.CRIS.B;nominal.p.CRIS.C;nominal.p.CRIS.D;nominal.p.CRIS.E;BH.FDR;BH.FDR.CRIS.A;BH.FDR.CRIS.B;BH.FDR.CRIS.C;BH.FDR.CRIS.D;BH.FDR.CRIS.E;Bonferroni.p
CRC0018LMX0B02204TUMR14000;CRIS-E;0.859021853;1.266260512;1.096300405;1.010106036;0.981535142;0.859021853;546;-0.266260512;-0.096300405;-0.010106036;0.018464858;0.140978147;0.265897468;1;1;0.998612003;0.987422025;0.265897468;0.284688809;1.070671378;1.070671378;1.069185289;1.0572045;0.284688809;1
CRC0024LMX0A02201TUMR07000;CRIS-A;0.70623475;0.70623475;0.793863551;1.032287012;1.014379056;1.053708351;46;0.29376525;0.206136449;-0.032287012;-0.014379056;-0.053708351;2.00E-06;2.00E-06;8.00E-06;0.870830258;0.754548491;0.951548097;9.81E-06;9.81E-06;3.93E-05;4.273061834;3.702480854;4.669134791;0.001211998
CRC0029LMX0A02204TUMR05000;CRIS-C;0.834114233;0.99945848;0.972424341;0.834114233;1.03090384;1.018092041;322;0.00054152;0.027575659;0.165885767;-0.03090384;-0.018092041;0.00987598;0.941376117;0.818204364;0.00987598;0.990722019;0.979004042;0.012815512;1.221571578;1.061738425;0.012815512;1.285605018;1.270399249;1
CRC0058LMX0A02201TUMR04000;CRIS-A;0.680194707;0.680194707;0.847596363;1.003359317;1.049799462;0.94978853;40;0.319805293;0.152403637;-0.003359317;-0.049799462;0.05021147;2.00E-06;2.00E-06;2.00E-06;0.060433879;0.277005446;0.004739991;9.81E-06;9.81E-06;9.81E-06;0.296541949;1.359233201;0.023258577;0.001211998
CRC0066LMX0A02204TUMR08000;CRIS-C;0.770419962;1.170032031;1.109997203;0.770419962;1.066718998;1.162618834;278;-0.170032031;-0.109997203;0.229580038;-0.066718998;-0.162618834;3.56E-04;1;0.999998;3.56E-04;0.999914;1;5.80E-04;1.629032258;1.629029;5.80E-04;1.628892162;1.629032258;0.215735569
CRC0068LMX0A02204TUMR19000;CRIS-B;0.71764032;0.906608665;0.71764032;1.07726539;1.099372908;1.086783687;129;0.093391335;0.28235968;-0.07726539;-0.099372908;-0.086783687;2.00E-06;0.031243938;2.00E-06;0.987580025;0.997554005;0.993550013;9.81E-06;0.153310333;9.81E-06;4.845939231;4.89488038;4.875233262;0.001211998
CRC0086LMX0A02204TUMR01000;CRIS-B;0.634837989;0.882959871;0.634837989;1.117322522;1.001466144;1.067850764;120;0.117040129;0.365162011;-0.117322522;-0.001466144;-0.067850764;2.00E-06;0.06489587;2.00E-06;0.999996;0.906360187;0.998948002;9.81E-06;0.318436416;9.81E-06;4.906862964;4.447403024;4.901720561;0.001211998
CRC0099LMX0A02204TUMR04000;CRIS-C;0.919697271;1.133536062;0.961526562;0.919697271;1.159131879;1.032110633;369;-0.133536062;0.038473438;0.080302729;-0.159131879;-0.032110633;0.275255449;1;0.652674695;0.275255449;1;0.982974034;0.293670427;1.066901408;0.696339551;0.293670427;1.066901408;1.048736381;1
CRC0114LMX0B02202TUMR01000;CRIS-E;0.50232404;1.069261032;0.95055152;1.068114915;1.086966455;0.50232404;481;-0.069261032;0.04944848;-0.068114915;-0.086966455;0.49767596;2.00E-06;0.45522309;0.003669993;0.44517711;0.612780774;2.00E-06;9.81E-06;2.233726253;0.018008223;2.184431809;3.006843314;9.81E-06;0.001211998
CRC0116LMX0A02201TUMR05000;CRIS-C;0.697682043;1.158749504;1.200689577;0.697682043;1.039757106;1.070241155;230;-0.158749504;-0.200689577;0.302317957;-0.039757106;-0.070241155;2.00E-06;1;1;2.00E-06;0.970998058;0.996280007;9.81E-06;4.906882591;4.906882591;9.81E-06;4.764573467;4.888629024;0.001211998
